

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/27/2015 3:57:14 am,DN,45824,44.8 MB,46084,45,5761,5.63,DASKAjA,771931041826,deutsche_telekom_ag,65------de,xHZM8FvE
08/27/2015 3:42:13 am,DN,44800,43.8 MB,46374,45.29,5797,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,v5dhjcKE
08/27/2015 3:27:10 am,DN,44544,43.5 MB,45848,44.77,5731,5.6,DASKAjA,77193099998,deutsche_telekom_ag,65------de,WuMGAFVJ
08/27/2015 3:12:08 am,DN,44416,43.4 MB,45976,44.9,5747,5.61,DASKAjA,77193099998,deutsche_telekom_ag,65------de,v4yCgmIJ
08/27/2015 2:57:08 am,DN,45440,44.4 MB,45392,44.33,5674,5.54,DASKAjA,77193099998,deutsche_telekom_ag,65------de,nfw351SF
08/27/2015 2:42:08 am,DN,45696,44.6 MB,42566,41.57,5321,5.2,DASKAjA,77193099998,deutsche_telekom_ag,65------de,H9IW2Mer
08/27/2015 2:27:05 am,DN,43648,42.6 MB,46030,44.95,5754,5.62,DASKAjA,77193099998,deutsche_telekom_ag,65------de,LePA8n7h
08/27/2015 2:12:00 am,DN,46080,45 MB,46330,45.24,5791,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,wChoXvi7
08/27/2015 1:56:59 am,DN,43648,42.6 MB,45660,44.59,5708,5.57,DASKAjA,77193099998,deutsche_telekom_ag,65------de,hlgVrQJ8
08/27/2015 1:41:50 am,DN,45824,44.8 MB,46351,45.26,5794,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,c20q9sS1
08/27/2015 1:26:28 am,DN,33152,32.4 MB,37633,36.75,4704,4.59,DASKAjA,77193099998,deutsche_telekom_ag,65------de,rgcFZd6p
08/27/2015 1:11:27 am,DN,45056,44 MB,45345,44.28,5668,5.54,DASKAjA,77193099998,deutsche_telekom_ag,65------de,2rUMjSE3
08/27/2015 12:56:23 am,DN,45312,44.3 MB,46198,45.12,5775,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,0hV5EgcR
08/27/2015 12:41:22 am,DN,45440,44.4 MB,46549,45.46,5819,5.68,DASKAjA,77193099998,deutsche_telekom_ag,65------de,dUMkswgN
08/27/2015 12:26:21 am,DN,43264,42.3 MB,46517,45.43,5815,5.68,DASKAjA,77193099998,deutsche_telekom_ag,65------de,pH9NZb18
08/27/2015 12:11:06 am,DN,44288,43.3 MB,46229,45.15,5779,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,i4xHFnUt
08/26/2015 11:56:04 pm,DN,46848,45.8 MB,46030,44.95,5754,5.62,DASKAjA,77193099998,deutsche_telekom_ag,65------de,mixEdUGO
08/26/2015 11:41:02 pm,DN,44800,43.8 MB,46462,45.37,5808,5.67,DASKAjA,77193099998,deutsche_telekom_ag,65------de,vme6DiBx
08/26/2015 11:26:02 pm,DN,45568,44.5 MB,45815,44.74,5727,5.59,DASKAjA,77193099998,deutsche_telekom_ag,65------de,CkvjWe0z
08/26/2015 11:11:01 pm,DN,45056,44 MB,41074,40.11,5134,5.01,DASKAjA,77193099998,deutsche_telekom_ag,65------de,x9Jv0GZq
08/26/2015 10:56:15 pm,DN,45312,44.3 MB,15968,15.59,1996,1.95,DASKAjA,77193099998,deutsche_telekom_ag,65------de,gPIHTeRD
